jobtitle,jobdescription,skills,experience
"Online Trainer - Java,j2ee,servlets,ejb,jsp,struts - Part-time","Job Description Â Send me Jobs like this Hi, We are looking for online trainer, who can work as a part-time. Java,J2EE Technologies: Core Java Advance Java Servlets Java Beans JSP J2EE : Struts Spring EJB XML JMS Hibernate Web Services Java Mail AJAX Maverick SOA Ruby on Rails Salary:INR 1,00,000 - 5,00,000 P.A Industry: IT-Software / Software Services Functional Area: IT Software - Application Programming , Maintenance Role Category:Programming & Design Role:Software Developer Keyskills Java J2EE jsp Java Programming J2Ee Spring Java Beans Java Swing Java Servlets Java Struts Java Server Pages Java Applets Java Awt Java Script Java Scripting Hibernate JMS XML Ruby on Rails AJAX Desired Candidate Profile Education- UG: Any Graduate - Any Specialization, Graduation Not Required PG:Any Postgraduate - Any Specialization, Post Graduation Not Required Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required Please refer to the Job description above Company Profile: Xecutesmart Xecutesmart is a global IT services provider headquartered in Phoenix, Arizona, USA and Chennai, India. Founded in 2008.The company enables enterprises to transform their business using Cloud CRM and Analytics. In addition, we also provide Product En Download PPT Photo 1 Â View Contact Details",IT Software - Application Programming,2 - 7 yrs
Branch Manager for a NBFC Company,"Job Description Â Send me Jobs like this To develop overall business and new relationships for forex in all segments. To consistently deliver/review profitability for branch & product against budget. To ensure compliance with regard to RBI rules & regulation, AML guidelines, and follow laid down circulars/process by the Company and other statutory bodies. To ensure correct & timely submission of statutory reports and Audit replies. To check and ensure daily physical counting of all Stock are done by the Cashier and tallied with the Till Statement. Any discrepancies reported to the Line Manager. To manage and report funds and other forex position in order to make optimum usage of resources. To ensure that proper authorization and recording of all transactions. To ensure that balances of all receivables/ payables of parties/branches/departments and banks are reconciled on routine basis. To build team by recruiting right talent and developing them by providing regular training inputs. To monitor routine admin work & taking custody of all moveable and immovable properties of the company. Interested candidates can share their profiles-at: chandrakala.joshi@indihire.com Salary:INR 4,50,000 - 5,50,000 P.A Industry: Banking / Financial Services / Broking Functional Area: Sales , Retail , Business Development Role Category:Retail Sales Role:Branch Manager Keyskills Compliance Training Auditing Administration Work Team Building Cashier Activities Statutory Reporting Branch Management Team handling team management team leader handling a team Desired Candidate Profile Please refer to the Job description above Company Profile: IndiHire It is one of the top NBFC company Download PPT Photo 1 Â View Contact Details",Sales,3 - 8 yrs
senior accountant,"Job Description Â Send me Jobs like this Greater Noida 5 Years 23- 01- 2015 Senior Accountant Jobs in Greater Noida - Vacancy in Accounting/Tax Senior Accountant VACANCY DETAILS Job Title Senior Accountant Gender Preference Number Of Vacancy Industry Area Accounting/Tax Key Skills Senior Accountant, Accountant, Accounting B. Com Salary (Per Annum) Work Experience 5 Years Job Requirement Experience Minimum 10 Year. - He Should Knowledge About Balance Sheet, Income Tax, Service Tax and Sales Tax. - He Can Handle Minimum 7- 8 Accountant Will Work Under Him. JOB LOCATION Job Country Job State / U. T. Uttar Pradesh Job City Greater Noida Job Address Delhi NCR COMPANY PROFILE Company Name Dare Deviles Services Pvt. Ltd Company Website www. daredevilservices. in About Company HR Outsourcing CONTACT DETAILS Email ID Services We Offer Salary: Not Disclosed by Recruiter Industry: Recruitment / Staffing Functional Area: Accounts , Finance , Tax , Company Secretary , Audit Role Category:Accounts Role:Accounts Executive/Accountant Keyskills sales tax balance sheet income tax ncr outsourcing email website accountant senior company Desired Candidate Profile Education- UG: B.Com PG:Post Graduation Not Required Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required Please refer to the Job description above Company Profile: Dare Deviles Services Private Limited Dare Deviles Services Private Limited Download PPT Photo 1 Â View Contact Details",Accounts,10 - 13 yrs
Medical Coder(surgery & Radiology),"Job Description Â Send me Jobs like this Walk-In on 10,12,13th Oct.2016 is only for Medical Coders(Surgery/Radiology)Â -Medical record coding based on standard guidelines.Â -Candidate should have minimum two years of experience in same specialty of medical coding.Â -Should have exposure Ortho Surgery coding;Â -Specialty in Surgery & RadiologyÂ -Specialty in Radiology , OrthologyÂ -Should have good knowledge in medical terms.Â -Should have completed ICD 10 training is a must. -CTC: Not constraint for the right candidateÂ -Immediate Joiner and one serving the notice period will be consideredÂ -Interested candidates can drop in for the Walk in interview on 10, 12 & 13th Oct. 2016 from 11:00 AM to 6:00 PM at below mentioned address.Â Pls Only Surgery & Radiology Medical Coders should come for an Interview and we will not consider other medical coders...Pls dont comeÂ Futuristic Giga Tech Pvt Ltd.(Finnastra) Novel Tech Park, 46/4, Garvebhavi Palya, Kudlu Gate, Hosur Road, Bangalore - 560 068Â Contact No: +919035004530 080-4093 4093Â Â Contact Person: Sivanandhan Salary:INR 50,000 - 3,00,000 P.A Industry: BPO / Call Centre / ITES Functional Area: ITES , BPO , KPO , LPO , Customer Service , Operations Role Category:Other Role:Medical Transcriptionist Keyskills Radiology &quot ; Medical Coding&quot ; &quot ; Medical Coder"" Desired Candidate Profile Please refer to the Job description above Education- UG: Any Graduate, Graduation Not Required PG:Any Postgraduate, Post Graduation Not Required Doctorate:Any Doctorate - Any Specialization, Any Specialization, Doctorate Not Required Company Profile: Futuristic Giga Tech Pvt Ltd(Finnastra) Founded in 2010, Finnastra has established strong domain expertise in prominent industries, including Business continuity, Healthcare, and other services such as Data Conversion, Accounting and Finance, Claim Adjudication, Pre-adjudication, Medical Bill Review, and Scanning . We employ a world-class team of technologists, program managers, subject matter experts and business analysts, all of whom have experience with large scale mission-critical IT implementations. Finnastra is headquartered in Bangalore, India and we are on site in the UK and US where we focus on the development of the latest technologies and processes. Download PPT Photo 1 Â View Contact Details",ITES,1 - 3 yrs
HR Manager / Assistant Recruitment Manager for Staffing,"Job Description Â Send me Jobs like this 1) Client Coordination, 2) Recruitment 3) Site Management 4) Team Handling 5) Client Servicing Preferably from bulk/volume recruitment background.Should have knowledge of Staffing industry. Salary:INR 3,50,000 - 6,00,000 P.A Industry: Recruitment / Staffing Functional Area: ITES , BPO , KPO , LPO , Customer Service , Operations Role Category:Back Office/Web/Transaction Processing Role:Assistant Manager/Manager-(NonTechnical) Keyskills Recruitment Management HR Staffing Human Resource Management Client Coordination Desired Candidate Profile Education- UG: Any Graduate - Any Specialization, Graduation Not Required PG:Any Postgraduate - Any Specialization, Post Graduation Not Required Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required 1) Client Coordination,2) Recruitment3) Site Management4) Team Handling5) Client ServicingPreferably from bulk/volume recruitment background.Should have knowledge of Staffing industry. Company Profile: Intelenet Global Services Private Limited Sparsh Bpo Services Ltd is a subsidiary of Intelenet. Download PPT Photo 1 Â View Contact Details",ITES,5 - 10 yrs
Immediate Openings for Abinitio Professionals !! Bangalore,"Job Description Â Send me Jobs like this Experience:Â - 8+ Years of IT experience - 5+ Yrs of Experience in Abinitio Development / Support - Experience in GDE or BRE (if into Development) - Excellent Communications Skills Salary: Not Disclosed by Recruiter Industry: IT-Software / Software Services Functional Area: IT Software - Application Programming , Maintenance Role Category:Programming & Design Role:Team Lead/Technical Lead Keyskills Ab Initio abinitio ab - initio Desired Candidate Profile Education- UG: Any Graduate - Any Specialization PG:Any Postgraduate - Any Specialization, Post Graduation Not Required Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required Please refer to the Job description above Company Profile: Career Network Top MNC CAREER NETWORK is one of the most reputed MANPOWER CONSULTANTS having its Head Office in Hyderabad. It is an organization with very professional manpower recruiting capability, for the major industrial and service sector all over India. We have been providing comprehensive, efficient and professional services to the clients since past several years. We have continued to build on our resources with emphasis on the quality of human capital value. These we have done over the years with a view to delivering customized quality Manpower resource solution to our diverse and varied industry and service sector based clients. Download PPT Photo 1 Â View Contact Details",IT Software - Application Programming,5 - 10 yrs
Deputy General Manager Sales,"Job Description Â Send me Jobs like this To achieve organizations objectives by defining short term goals w.r.t immediate & bulk users, contact & relation development and territory coverage and long term goals w.r.t brand promotion. Responsible for sales plan based on product, market, customer, forecasts, enquiry etc. Capable of implementing strategy plan for year AOP which includes key products, weekly / monthly forecasts and accounts. Analyzing overall & key account performance of the team based on various parameters. Self analyzing and evaluating performance based on objectives, days target, outcome of strategies etc. Developed a unique methodology to manage the Instruments / Capital Equipments Sales involving strategic Planning ,Implementation ,Monitoring and reviewing .Ensured complete management of the customers & high success rates in order conversion. Capable of analyzing market as per strategic groupings like competition, customer segments, decision makers, total potential, bulk volumes loyalty accounts, customer mapping & expectations. Responsible for sales plan based on product, market, customer, forecasts, enquiry etc. Capable of managing Instruments / Capital Equipments Sales , RRC involving strategic Planning Salary:INR 14,00,000 - 18,00,000 P.A Industry: Medical / Healthcare / Hospitals Functional Area: Sales , Retail , Business Development Role Category:Institutional Sales Role:Sales/Business Development Manager Keyskills Sales Planning Capital Equipments Brand Promotion Strategic Planning Sales Management General Management Product Sales diagnostics team handling team management sales Desired Candidate Profile Education- UG: Any Graduate - Any Specialization, B.Sc - Bio-Chemistry, Biology, Chemistry, Microbiology PG:MBA/PGDM - Any Specialization Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required Please refer to the Job description above Company Profile: Mindmentors Consultant Private Limited Leading Indian Diagnostics MNC Leading Diagnostics company thats dealing into high end diagnostics equipments. They are one of the major medical device companies that manufactures products across In-Vitro Diagnostics (IVD), Imaging -Ultrasound Machine, Intensive Care and OT that are approved by US FDA and CE. Download PPT Photo 1 Â View Contact Details",Sales,8 - 13 yrs
Freshers- Voice Process- TR1 Company- Banu,"Job Description Â Send me Jobs like this Skills Required: * Excellent Communication and written Communication skills. * Target oriented. * Good Analytical and Reasoning ability * Client interfacing skills. Qualification: * Any Graduates Experience: *0-1 Years of experiences Salary:INR 50,000 - 2,00,000 P.A Industry: BPO / Call Centre / ITES Functional Area: ITES , BPO , KPO , LPO , Customer Service , Operations Role Category:Voice Role:Associate/Senior Associate -(NonTechnical) Keyskills Voice Process Communication Skills Written Communication voiceprocess customer support customer support enginner Aviation and Aerospace fresher technical support tech support Desired Candidate Profile Education- UG: Any Graduate - Any Specialization, Graduation Not Required PG:Any Postgraduate - Any Specialization, Post Graduation Not Required Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required Interested Candidates can send your updated profile or contact us Banu@headhuntersinc.org banu@9940071577 Company Profile: Headhuntersinc Consultancy Private Limited Headhunters Download PPT Photo 1 Â View Contact Details",ITES,0 - 1 yrs
Manager/ Assistant manager/ Executive - Marketing,"Job Description Â Send me Jobs like this Job Description: Candidate should have following: Capable of working independently as well as in a team Ability to manage team/ freelancers/ vendors Excellent written/ verbal communication skills Should be multi tasking Familiarity/ experience with Digital marketing skills like SEO/ PPC/ SMM a plus Email marketing/ Blog writing/ commenting experience preferred Result oriented. Salary: Not Disclosed by Recruiter Industry: IT-Software / Software Services Functional Area: Marketing , Advertising , MR , PR , Media Planning Role Category:Marketing Role:Marketing Manager Desired Candidate Profile Education- UG: Any Graduate PG:Post Graduation Not Required, MBA/PGDM Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required Please refer to the Job description above Company Profile: Vaidya Consulting Vaidya Consulting Download PPT Photo 1 Â View Contact Details",Marketing,2 - 7 yrs
"Field Application Engineer- Network Protocols, System on chip","Job Description Â Send me Jobs like this Job Description Networking protocols, software, systems, and equipment C programming, troubleshooting, performance analysis in embedded systems environment OS internals, binutils and C libraries in Linux, UNIX, xBSD, VxWorks, or similar operating system GNU tool chain, gcc, gdb. Device Driver/API development U-boot bootloader porting Common microprocessor architectures and assembly language programming Writing app notes, technical papers, technical specifications Qualifications Networking protocols, software, systems, and equipment C programming, troubleshooting, performance analysis in embedded systems environment OS internals, binutils and C libraries in Linux, UNIX, xBSD, VxWorks, or similar operating system GNU tool chain, gcc, gdb. Device Driver/API development U-boot bootloader porting Common microprocessor architectures and assembly language programming Writing app notes, technical papers, technical specifications Salary: Not Disclosed by Recruiter Industry: IT-Software / Software Services Functional Area: IT Software - Embedded , EDA , VLSI , ASIC , Chip Design Role Category:Programming & Design Role:Software Developer Keyskills troubleshooting development operating system vxworks microprocessor networking protocols notes api assembly language programming gnu Desired Candidate Profile Education- UG: B.Tech/B.E. PG:M.Tech Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required Please refer to the Job description above Company Profile: ph7 Founded in 2009 by a team of young professionals, we offer services in the area of HR and Creative Solutions. Our domain expertise coupled with talented people enables us in delivering unique and customer centric solutions. Download PPT Photo 1 Â View Contact Details",IT Software - Embedded,3 - 8 yrs
GM - Preemptive Team Lead,"Job Description Â Send me Jobs like this External Role Title : Pre-Emptive Team Lead P> P> Service Line/ Process/ Sub Function: IM P> P> Band : F P> P> Project Name (if applicable) : VTIS-IT & Network Security Operations - Infrastructure Monitoring P> P> Business Unit/ Function : Technology SSC P> P> Role Purpose : P> P> Cyber Defence Operations (CDO) is Vodafone Groups Cyber Defence Operations Centre of Excellence. P> CDOs mission is to protect Vodafone customers against global cyber risk. CDO is specifically accountable for delivering: P> Cyber Defence operational leadership across Vodafone. P> Cyber Defence operational capabilities to the Local Market Operating Companies and Partner Markets to enhance Vodafones global cyber defence posture and reduce its cyber risk. P> The leader of the Pre-Emptive Security Operations team is accountable for proactively finding out what cyber security vulnerabilities exist across Vodafones global infrastructure and dealing with them before they can be exploited. P> This is achieved through running proactive cyber discovery activities and jointly executing on infrastructure vulnerability remediation plans with infrastructure teams across Vodafone Group and in the Local Market Operating Companies and Partner Markets. P> P> Desired Profile :(Overall & Relevant work experience, skills, technical/ domain knowledge, Customer handling, Geographical exposure etc.) : P> P> 10 years network infrastructure management experience. P> 5 years security infrastructure management/ security professional services experience. P> Security infrastructure processes management e.g ITIL, ISO 27001. P> Knowledge of cyber discovery activities e.g. ethical hacking and vulnerability management. P> Deep knowledge of best practice/ continuous improvement (from both a technology and operational process perspective). P> Extensive knowledge of risk analysis and the development of security remediation plans P> Strong analytical, communication and stakeholder management skills P> Leadership of large global virtual and dispersed teams. P> Strong track record of managing performance to deliver against challenging SLAs and KPIs and continuous improvement initiatives. P> P> Salary: Not Disclosed by Recruiter Industry: Telecom/ISP / Functional Area: IT Software - Network Administration , Security Role Category:Programming & Design Role:Team Lead/Technical Lead Desired Candidate Profile Education- UG: B.Tech/B.E. PG:M.Tech Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required Please refer to the Job description above Company Profile: Vodafone India Limited Vodafone India Limited Download PPT Photo 1 Â View Contact Details",IT Software - Network Administration,10 - 13 yrs
Linux Administrator,"Job Description Â Send me Jobs like this Roles & Responsibility: You will work on Solaris Administration and will be involved in demonstrating Solaris 10 system administration, ZFS, SMF, SUN Cluster, Veritas Volume Manager, NFS, TCP/IP networking and SAN storage (Powerpath), shell scripting. You will work on Linux Administration LVM(Logical Volume Manager) administration, user management, suse manager administration, exposure to yum, zypper, rpm, security hardening. Skills required: Solaris : Extensive UNIX system administration experience. Professional qualification as a Solaris 10 Certified Systems Administrator. Demonstrable Solaris system administration experience in a large scale server environment. Some exposure to AIX would be advantageous. Experience with SunFire servers from entry level to enterprise 6800s, F25K and M-series hardware. Demonstrable competence in the following: Solaris 10 system administration, ZFS, SMF, SUN Cluster, Veritas Volume Manager, NFS, TCP/IP networking and SAN storage (Powerpath), shell scripting. Linux: (Suse/RHEL): Preferably RHEL/SUSE 11 certified LVM (Logical Volume Manager) administration User management Suse manager administration, exposure to yum, zypper, rpm Security hardening Experience in performing IMM/ILO administration Experience in performing vmware administration Experience in performing firmware upgrade in Linux Platform. Other Details: You should have 7 to 12 years experience. You should have good Communication Skills. You should have good analytical skills. Required Bachelor's Degree At least 7 years experience in Linux,Solaris,Veritas Cluster,Veritas Volume Manager English: Fluent Preferred: At least 7 years experience in Linux,Solaris,Veritas Cluster,Veritas Volume Manager. Salary: Not Disclosed by Recruiter Industry: IT-Hardware & Networking Functional Area: IT Software - Network Administration , Security Role Category:Admin/Maintenance/Security/Datawarehousing Role:System Administrator Keyskills Linux Linux admin Linux administrator Linux Administration Desired Candidate Profile Education- UG: Any Graduate - Any Specialization PG:Any Postgraduate - Any Specialization, Post Graduation Not Required Doctorate:Doctorate Not Required Work Experience- 5-14 yrs. Company Profile: Maven Workforce Leading Client of Maven Workforce Download PPT Photo 1 Â View Contact Details",IT Software - Network Administration,5 - 10 yrs
Opportunity - AIX Admin - 5th Dec 2015 (saturday) - Noida,"Job Description Â Send me Jobs like this Greeting from IKYA..!!! This is Nirmalraj from IKYA global. I have an excellent opportunity with at Top Infra company for AIX Admin at Chennai & Noida Kindly have a look in the below interview details, Permanent payroll with HCL Interview Date: 5th December 2015 (Saturday) Interview Location: Noida Joining location: Chennai & Noida Experience: 4 - 12 years L2: Relevant Experience - 4 years L3: Relevant Experience - 6 years Multiple openings going on - Interested candidates apply ASAP Only 2 rounds of Interview - Online & technical interview + HR discussion Interested candidates can send me your updated profile along with the following details to nirmalraj.s@ikyaglobal.com Details Required: Availability on 5th Dec 2015 (Saturday): Yes / No Current Company: Current location: Total Experience: Relevant Experience: CTC: Expected ctc: Notice period: For queries kindly reach me at +91-9894897754 You can still apply, if you have experience in the following skill : Windows / Linux / UNIX / Netapp / Netbackup / Solaris / AIX / Exchange / networks Data / Oracle DBA / SQL DBA / Cisco Voice / EMC Clariion Kindly have a look in the below JD of AIX Admin for your reference, Adhering to SLAs ITIL Processes awareness and adhering to same ones Reporting to the Track Lead / Team Lead Helping team members in case of Issues/Technical Problems Handling tickets / requests !!!...Wishing you all the best...!!! Thanks & Regards, Nirmalraj.S - Senior consultant, Ikya Global, nirmalraj.s@ikyaglobal.com Salary:INR 5,00,000 - 14,00,000 P.A Industry: IT-Software / Software Services Functional Area: IT Hardware , Technical Support , Telecom Engineering Role Category:IT Hardware Role:System Administrator Keyskills AIX aix administrator aix admin aix system admin aix system administrator AIX administration Desired Candidate Profile Education- UG: Any Graduate - Any Specialization PG:Any Postgraduate - Any Specialization Doctorate:Any Doctorate - Any Specialization Please refer to the Job description above Company Profile: Ikya Human Capital Solutions Pvt Ltd HCL Technologies Limited CMM Level 5 Company Download PPT Photo 1 Â View Contact Details",IT Hardware,4 - 9 yrs
AIS Manager,"Job Description Â Send me Jobs like this Skills:- Primary Skills:- Exposure to manage large environment/ Infrastructure Good knowledge in Network, D&I / EP Security products Secondary Skills:- Customized and correlative reporting efficiency Role Purpose:- The person will be responsible for on-boarding new devices within Security Operation and integration of new security services. Having excellent knowledge of all security products within Network Security, D&I Security and EP Security along with exposure of build/transition of the service of all security products. The person would also be responsible for project activities, document updating. Coordination along with Project Manager for delivery of security infrastructure roles and responsibilities, KPI and SLA as part of lite on-boarding process. Contributes in successive planning and operation management. Ensuring process streamlining and service improvement within the security operation. Actively involved in Team meetings and stakeholders requirement. Providing project support for new services for all security product and services. Key Accountabilities:- Ensuring all Infrastructure details are covered Responsible for onboarding all security product/devices within security operation Ensure project deliverable on time within security operation Document updating all standard KPI & SLA Project Management and Delivery Experience Explore to transition and deliverables Expertise at handling Security Operation Ability to coach and mentor the team Experience in handling large environment Network Security Product knowledge 2FA & PKI Infrastructure Support understanding DLP Solution Implementation and maintenance Experience Antivirus Management Good knowledge on PGP, Encryption technology Good Understanding of Risk, Threat and Vulnerabilities People Management Skills Proper understanding of Audit requirements in Data and Information Security Handling customer escalation Ability to handle peak flows Timely update and escalation to relevant stakeholders Behavioral/ Personality Specifications required:- Good written and verbal communication skills Good understanding of SLA & KPI Salary: Not Disclosed by Recruiter Industry: IT-Software / Software Services Functional Area: IT Software - Network Administration , Security Role Category:Admin/Maintenance/Security/Datawarehousing Role:IT/Networking-Manager Keyskills coordination project management network security security services audit information security dlp pki ep encryption Desired Candidate Profile Education- UG: Any Graduate PG:Any Postgraduate Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required Please refer to the Job description above Company Profile: Vodafone India Limited Vodafone India Limited Download PPT Photo 1 Â View Contact Details",IT Software - Network Administration,2 - 5 yrs
Front End Engineer,"Job Description Â Send me Jobs like this Implement the features and build world-class user interfaces Work on libraries that power our front-end stack Collaborate with Product Designers, Product Managers, and Software Engineers to deliver compelling user-facing products Take full ownership of projects from design to implementation and deployment Interact with programmer communities, college coding groups, open source communities and understand how to engage with them. Contribute to the ways the platform can be made much more engaging and can reach out to a larger audience. 1 year experience in HTML, CSS, JavaScript Knowledge of development on a Linux system Strong concepts of layouts and cross-browser compatibilities Good understanding of usability and visual design Hands on experience in Python & Django Interest in contributing to open source projects Salary: Not Disclosed by Recruiter Industry: IT-Software / Software Services Functional Area: IT Software - Application Programming , Maintenance Role Category:Programming & Design Role:Software Developer Keyskills javascript linux development python open source coding front end interfaces usability django Desired Candidate Profile Education- UG: B.Tech/B.E. PG:MCA Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required Please refer to the Job description above Company Profile: HackerEarth Inc. HackerEarth is a tech startup based in Bangalore, India. We are building the largest platform to engage with programmers around the world. Today there is no interesting place where programmers can interact and collaborate with each other, and most importantly do one thing that they absolutely love to do - write code. Download PPT Photo 1 Â View Contact Details",IT Software - Application Programming,1 - 6 yrs
Business Development & Sales,"Job Description Â Send me Jobs like this Kind of person we are looking for: Highly motivated and trustworthy Good oral and written communication skills Hungry to learn and grow Loves to travel Likes to meet people Knowledgeable about the Internet and Computer Roles & Responsibilities: Role will be of Business Development where candidates have to do the dual role of marketing and sales Meeting prospective clients, demonstrating the software and explaining about the features and functionality of the product Following up with the prospective clients and closing the sale Participating in conferences, representing the company for brand awareness and lead generation Providing suggestions to improve sales & marketing Salary: Not Disclosed by Recruiter Industry: IT-Software / Software Services Functional Area: Sales , Retail , Business Development Role Category:Retail Sales Role:Sales Executive/Officer Keyskills business development travel conferences brand awareness closing communication skills sales marketing and sales trustworthy lead generation Desired Candidate Profile Education- UG: Any Graduate PG:MBA/PGDM Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required Please refer to the Job description above Company Profile: PropMatrix Technologies Pvt. Ltd. PropMatrix is a fast-growing real estate technology company headquartered in Noida which aims to organize and simplify the real estate services with the aid of technology. Our PropMatrix software is the leading cloud-computing CRM platform for real estate companies. Download PPT Photo 1 Â View Contact Details",Sales,1 - 5 yrs
"Tools Developer - Perl Expert for Cloud Ops (devops), SAP Ariba","Job Description Â Send me Jobs like this SAP Ariba is hiring Tools Developer - Expert in Perl and also has experience on web server products. Come join the brightest, most dedicated, most energetic engineers, marketers, project managers, sales, service, and finance professionals! SAP Ariba, is the global leader in business commerce networks, supporting more than $450 billion dollars in yearly trade between over 1 million connected companies. Ariba is transforming the way the world conducts business and is poised for strong continued growth with its innovation around the commerce graph. Every day, we help companies big and small collaborate with trading partners to manage spend, cut costs, reduce risk, and grow revenue. This collaboration is enabled through the Ariba Network, a cloud-based community where companies find buying, selling, and managing cash to be as easy as using Amazon, eBay, and PayPal; Ariba Exchange, a free online place where business commerce professionals network and share information and best practices, just like friends on Facebook; and the Networked Economy Blog, where we share best practices and thought leadership on procurement and financial management topics with companies across the globe. Ariba provides professionals the opportunity to solve some of the worlds most challenging large-scale, cloud-based problems. We offer: Solve some of the worlds most challenging large-scale, cloud-based issues 20 PTO DAYS + Winter break between Christmas and New Years Day Paid! 10 holidays Flexible work schedule and telecommuting opportunities Choice of medical plans, 401(k), etc. We are growing and looking for talented people to help. Position Overview: As a member of the Tools team you will be responsible for the development and deployment of tools for Aribas Hosted Operations and engineering teams. This position will focus on building tools for operations monitoring, performance measurement, automation utilities and release control in a 24x7 mission-critical production environment. Responsibilities include: Duties and Responsibilities Working with Engineering Services, Hosting Operations and other Ariba development organizations to gather requirements, design, develop and deploy solutions (web and command line user interfaces). Lead the design, development, and support of various tools and applications (configuration/build/ deployment, monitoring, web servers, performance analysis/reporting, database/system admin utilities, ) for Ariba's operations and engineering teams. Automate the configuration and commissioning of applications for a 24x7 mission-critical production environment. Assist in guiding the team towards applying industry standard software development processes. Participate in re-engineering the tools development and deployment processes. Participate and lead in all phases of the software development cycle Lead the team on assigned projects and mentor junior team members as required Assists manager in coordinating and prioritizing team tasks and driving projects to high-quality and on-time completion. Drive consensus for design, process, technology, and documentation improvements. Improve efficiency of operational teams by out-of-the-box thinking and use/development of industry standard /cutting edge technology. Basic Minimum Qualifications B.S. Computer Science or equivalent experience. Minimum 2 years of Perl development experience on UNIX or Linux in an Internet-service environment. Broad Internet/Network Understanding of TCP/IP, UDP, HTTP, and SSL/TSL. Follows and employs change control procedures. Quick learner with the ability to understand multi-system applications and networks. Excellent communication skills and excellent team player. Preferred Qualifications Proficient in object-oriented design principles with skills in Java, C/C++. Please note development is done only in Perl. However, we are open to using any modern language if appropriate for new development. Experience in the following areas: System/Network/Database Administration, Encryption Algorithms, Java Application Cluster Deployment, Web/Application Server (Apache/Tomcat/ WebObject) Performance Tuning, Maintaining 99.99+% infrastructure uptime, Data(center) Fail-over and Recovery, Cloud Computing. Experience building applications on top of RDBMS. Proficiency in SQL development preferably in an Oracle environment. Experience with web application servers (WebObjects, Tomcat, WebLogic). Experience developing release control tools in a fast-paced environment with well-developed practices and procedures. Salary: Not Disclosed by Recruiter Industry: IT-Software / Software Services Functional Area: IT Software - Other Role Category:Admin/Maintenance/Security/Datawarehousing Role:System Administrator Keyskills C Java SQL Development Algorithms Oracle Environment Linux Unix RDBMS Networking Database Administration Perl Shell Scripting Web Server Desired Candidate Profile Education- UG: B.Tech/B.E. - Any Specialization, B.Sc - Any Specialization PG:Any Postgraduate - Any Specialization, Post Graduation Not Required Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required Please refer to the Job description above Company Profile: SAP Ariba Ariba, an SAP company, is the global leader in business commerce networks, supporting more than $450 billion dollars in yearly trade between over 1 million connected companies. Ariba is transforming the way the world conducts business and is poised for strong continued growth with its innovation around the commerce graph. Every day, we help companies big and small collaborate with trading partners to manage spend, cut costs, reduce risk, and grow revenue. This collaboration is enabled through the Ariba Network, a cloud-based community where companies find buying, selling, and managing cash to be as easy as using Amazon, eBay, and PayPal; Ariba Exchange, a free online place where business commerce professionals network and share information and best practices, just like friends on Facebook; and the Networked Economy Blog, where we share best practices and thought leadership on procurement and financial management topics with companies across the globe. Ariba provides professionals the opportunity to solve some of the world's most challenging large-scale, cloud-based problems. Download PPT Photo 1 Â View Contact Details",IT Software - Other,6 - 10 yrs
Senior Engineer (programming),"Job Description Â Send me Jobs like this * Position: Senior Engineer * Total Work Experience: 4 - 8 Years * Salary :- 8 LPA -18 LPA * Work Location: Bangalore Experience in user land Java 8, C Language on Linux Salary:INR 8,00,000 - 17,00,000 P.A Industry: IT-Software / Software Services Functional Area: IT Software - Application Programming , Maintenance Role Category:Programming & Design Role:Software Developer Keyskills C Java Programming Linux python Bash VLAN Yocto Desired Candidate Profile Please refer to the Job description above Education- UG: B.Ed - Education, B.Tech/B.E. - Any Specialization PG:MCA - Computers, M.Tech - Any Specialization Company Profile: RS HR management solution and services pvt ltd Career's mantra is a project of RS HRM Solutions and Services, which is pvt. ltd. company and have started its business of recruitment and training recently. Earlier it had ventured with various companies of same and hospitality sectors. Download PPT Photo 1 Â View Contact Details",IT Software - Application Programming,4 - 8 yrs
